Facility ID,Facility Name,Address_x,City/Town_x,State,ZIP Code_x,County/Parish_x,Telephone Number_x,Measure ID,Measure Name,Compared to National,Denominator_x,Score,Lower Estimate_x,Higher Estimate_x,Footnote,Start Date_x,End Date_x,Payment Measure Name,Address_y,City/Town_y,ZIP Code_y,County/Parish_y,Telephone Number_y,Payment Measure ID,Payment Category,Denominator_y,Payment,Lower Estimate_y,Higher Estimate_y,Payment Footnote,Value of Care Display ID,Value of Care Display Name,Value of Care Category,Value of Care Footnote,Start Date_y,End Date_y,Color
220001,"HEALTHALLIANCE HOSPITALS, INC",60 HOSPITAL ROAD,LEOMINSTER,MA,1453,WORCESTER,(978) 466-2000,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,26,2.9,1.6,5.3,,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,60 HOSPITAL ROAD,LEOMINSTER,1453,WORCESTER,(978) 466-2000,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,26,"$21,124","$18,498","$24,146",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,04/01/2019,03/31/2022,lightgrey
220001,"HEALTHALLIANCE HOSPITALS, INC",60 HOSPITAL ROAD,LEOMINSTER,MA,1453,WORCESTER,(978) 466-2000,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,54,12.9,9.6,16.6,,07/01/2019,06/30/2022,Payment for heart attack patients,60 HOSPITAL ROAD,LEOMINSTER,1453,WORCESTER,(978) 466-2000,PAYM_30_AMI,No Different Than the National Average Payment,51,"$26,364","$23,036","$30,080",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220001,"HEALTHALLIANCE HOSPITALS, INC",60 HOSPITAL ROAD,LEOMINSTER,MA,1453,WORCESTER,(978) 466-2000,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,248,11.3,8.7,14.8,,07/01/2019,06/30/2022,Payment for heart failure patients,60 HOSPITAL ROAD,LEOMINSTER,1453,WORCESTER,(978) 466-2000,PAYM_30_HF,No Different Than the National Average Payment,240,"$19,052","$17,663","$20,505",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220001,"HEALTHALLIANCE HOSPITALS, INC",60 HOSPITAL ROAD,LEOMINSTER,MA,1453,WORCESTER,(978) 466-2000,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,248,16.3,13.0,20.2,,07/01/2019,06/30/2022,Payment for pneumonia patients,60 HOSPITAL ROAD,LEOMINSTER,1453,WORCESTER,(978) 466-2000,PAYM_30_PN,No Different Than the National Average Payment,231,"$20,772","$19,220","$22,234",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,2138,MIDDLESEX,(617) 492-3500,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,148,3,1.7,5.0,,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,330 MOUNT AUBURN STREET,CAMBRIDGE,2138,MIDDLESEX,(617) 492-3500,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,148,"$20,436","$19,199","$21,746",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,04/01/2019,03/31/2022,lightgrey
220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,2138,MIDDLESEX,(617) 492-3500,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,151,11.5,8.8,15.0,,07/01/2019,06/30/2022,Payment for heart attack patients,330 MOUNT AUBURN STREET,CAMBRIDGE,2138,MIDDLESEX,(617) 492-3500,PAYM_30_AMI,No Different Than the National Average Payment,149,"$29,186","$26,254","$32,413",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,2138,MIDDLESEX,(617) 492-3500,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,388,10,7.9,12.5,,07/01/2019,06/30/2022,Payment for heart failure patients,330 MOUNT AUBURN STREET,CAMBRIDGE,2138,MIDDLESEX,(617) 492-3500,PAYM_30_HF,No Different Than the National Average Payment,376,"$17,876","$16,730","$19,011",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,2138,MIDDLESEX,(617) 492-3500,MORT_30_PN,Death rate for pneumonia patients,Better Than the National Rate,325,14.6,11.7,18.0,,07/01/2019,06/30/2022,Payment for pneumonia patients,330 MOUNT AUBURN STREET,CAMBRIDGE,2138,MIDDLESEX,(617) 492-3500,PAYM_30_PN,Less Than the National Average Payment,316,"$18,433","$17,283","$19,662",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Better Mortality and Lower Payment,,07/01/2019,06/30/2022,lightgrey
220008,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,2703,BRISTOL,(508) 222-5200,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,217,3.6,2.3,5.6,,04/01/2019,03/31/2022,Payment for hip/knee replacement patients,211 PARK STREET,ATTLEBORO,2703,BRISTOL,(508) 222-5200,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,216,"$21,309","$20,198","$22,470",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,04/01/2019,03/31/2022,lightgrey
220008,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,2703,BRISTOL,(508) 222-5200,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,32,12.6,9.4,16.6,,07/01/2019,06/30/2022,Payment for heart attack patients,211 PARK STREET,ATTLEBORO,2703,BRISTOL,(508) 222-5200,PAYM_30_AMI,No Different Than the National Average Payment,30,"$26,531","$22,939","$31,048",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2019,06/30/2022,lightgrey
